"Kinase or Kinase
Complex Name",Gene Name,Official Full Name,Also Known As,NCBI Gene ID,Vector Catalog #,Vector Name,"Recommended ADH
Format App Note","Recommended NBS
Format App Note"
NEK3,NEK3,NIMA related kinase 3,HSPK36,4752,NV1791,NanoLuc®-NEK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
NEK4,NEK4,NIMA related kinase 4,"NRK2, STK2, pp12301",6787,NV3781,NanoLuc®-NEK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NEK5,NEK5,NIMA related kinase 5,-,341676,NV3791,NanoLuc®-NEK5 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NEK6,NEK6,NIMA related kinase 6,SID6-1512,10783,NV3801,NEK6-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
NEK9,NEK9,NIMA related kinase 9,"APUG, LCCS10, NC, NERCC, NERCC1",91754,NV1801,NanoLuc®-NEK9 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
NIM1K,NIM1K,NIM1 serine/ threonine protein kinase,NIM1,167359,NV3811,NIM1K-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NLK,NLK,nemo like kinase,-,51701,NV3821,NLK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NRK,NRK,Nik related kinase,NESK,203447,NV3831,NanoLuc®-NRK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
NTRK1 (G667C),NTRK1,neurotrophic receptor tyrosine kinase 1,"MTC, TRK, TRK1, TRKA, Trk-A, p140-TrkA",4914,NV3841,NTRK1(G667C)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
NUAK1,NUAK1,NUAK family kinase 1,ARK5,9891,NV1831,NanoLuc®-NUAK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
NUAK2,NUAK2,"NUAK family, SNF1-like kinase, 2",SNARK,81788,NV3851,NUAK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PAK4,PAK4,p21 (RAC1) activated kinase 4,,10298,NV1841,PAK4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PAK6,PAK6,p21 (RAC1) activated kinase 6,PAK5,56924,NV3861,PAK6-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PAK7,PAK7,p21 (RAC1) activated kinase 5,"PAK7, PAK5",57144,NV1851,PAK7-NanoLuc® Fusion Vector,,"NanoBRET™ TE Intracellular Kinase Assay, K-5"
PDGFRA (V561D),PDGFRA,platelet derived growth factor receptor alpha,"CD140A, PDGFR-2, PDGFR2",5156,NV3871,PDGFRA(V561D)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
PHKG1,PHKG1,phosphorylase kinase catalytic subunit gamma 1,PHKG,5260,NV1861,NanoLuc®-PHKG1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PHKG2,PHKG2,phosphorylase kinase catalytic subunit gamma 2,GSD9C,5261,NV3881,NanoLuc®-PHKG2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PIK3C3,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,"VPS34, Vps34, hVps34",5289,NV3891,PIK3C3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
PIK3CA (C420R)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3911,NanoLuc®-PIK3CA(C420R) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (E542K)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3921,NanoLuc®-PIK3CA(E542K) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (E545A)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3931,NanoLuc®-PIK3CA(E545A) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (E545K)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3941,NanoLuc®-PIK3CA(E545K) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (H1047L)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3951,NanoLuc®-PIK3CA(H1047L) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (H1047R)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3961,NanoLuc®-PIK3CA(H1047R) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (H1047Y)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3971,NanoLuc®-PIK3CA(H1047Y) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (I800L)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3981,NanoLuc®-PIK3CA(I800L) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (M1043I)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3991,NanoLuc®-PIK3CA(M1043I) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA (Q546K)/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV4001,NanoLuc®-PIK3CA(Q546K) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CA/ PIK3R1,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha",5290,NV3901,NanoLuc®-PIK3CA Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CB/ PIK3R1,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","P110BETA, PI3K, PI3KBETA, PIK3C1",5291,NV4011,NanoLuc®-PIK3CB Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIK3CD/ PIK3R1,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","APDS, IMD14, P110DELTA, PI3K, p110D",5293,NV4021,NanoLuc®-PIK3CD Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-3",
PIKFYVE,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","CFD, FAB1, HEL37, PIP5K, PIP5K3, ZFYVE29",200576,NV4041,PIKFYVE-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
PIM3,PIM3,"Pim-3 proto-oncogene, serine/ threonine kinase",pim-3,415116,NV4051,NanoLuc®-PIM3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PIP4K2C,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,PIP5K2C,79837,NV4061,PIP4K2C-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
PIP5K1B,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta,"MSS4, STM7",8395,NV4071,NanoLuc®-PIP5K1B Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
PKMYT1,PKMYT1,"protein kinase, membrane associated tyrosine/ threonine 1","MYT1, PPP1R126",9088,NV1871,PKMYT1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PLK2,PLK2,polo like kinase 2,"SNK, hPlk2, hSNK",10769,NV4081,NanoLuc®-PLK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
PLK3,PLK3,polo like kinase 3,"CNK, FNK, PLK-3, PRK",1263,NV4091,NanoLuc®-PLK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
PLK4,PLK4,polo like kinase 4,"MCCRP2, SAK, STK18",10733,NV1881,NanoLuc®-PLK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PRKAA1,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,"AMPK, AMPKa1",5562,NV4101,NanoLuc®-PRKAA1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PRKAA2,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,"AMPK, AMPK2, PRKAA, AMPKa2",5563,NV1891,NanoLuc®-PRKAA2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PRKACA,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,"PKACA, PPNAD4",5566,NV1901,PRKACA-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PRKACB,PRKACB,protein kinase cAMP-activated catalytic subunit beta,"PKA C-beta, PKACB",5567,NV4111,PRKACB-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PRKCE,PRKCE,protein kinase C epsilon,"PKCE, nPKC-epsilon",5581,NV4121,PRKCE-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
PRKG2,PRKG2,protein kinase cGMP-dependent 2,"PKG2, PRKGR2, cGK2, cGKII",5593,NV4131,PRKG2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
PRKX,PRKX,"protein kinase, X-linked",PKX1,5613,NV1911,PRKX-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
PYK2,PTK2B,protein tyrosine kinase 2 beta,"PKB, PTK, CAKB, FAK2, PYK2, CADTK, FADK2, RAFTK",2185,NV1931,PTK2B-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RET,RET,ret proto-oncogene,"PTC, MTC1, HSCR1, MEN2A, MEN2B, RET51, CDHF12, CDHR16, RET-ELE1",5979,NV1951,RET-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RET (M918T),RET,ret proto-oncogene,"PTC, MTC1, HSCR1, MEN2A, MEN2B, RET51, CDHF12, CDHR16, RET-ELE1, RET",5979,NV4141,RET(M918T)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
RET (V804L),RET,ret proto-oncogene,"PTC, MTC1, HSCR1, MEN2A, MEN2B, RET51, CDHF12, CDHR16, RET-ELE1, RET",5979,NV4151,RET(V804L)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
RET (V804M),RET,ret proto-oncogene,"PTC, MTC1, HSCR1, MEN2A, MEN2B, RET51, CDHF12, CDHR16, RET-ELE1, RET",5979,NV4161,RET(V804M)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
RIOK2,RIOK2,RIO kinase 2,RIO2,55781,NV1961,NanoLuc®-RIOK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RIPK1,RIPK1,receptor interacting serine/ threonine kinase 1,"IMD57, RIP, RIP-1, RIP1",8737,NV4171,NanoLuc®-RIPK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
RIPK2,RIPK2,receptor interacting serine/ threonine kinase 2,"CCK, RICK, RIP2, CARD3, GIG30, CARDIAK",8767,NV1971,NanoLuc®-RIPK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-4"
RON,MST1R,macrophage stimulating 1 receptor,"CD136, CDw136, NPCA3, PTK8, RON, SEA",4486,NV4181,RON-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
RPS6KA3 (I416V),RPS6KA3,ribosomal protein S6 kinase A3,"CLS, HU-3, ISPK-1, MAPKAPK1B, MRX19, RSK, RSK2, S6K-alpha3, p90-RSK2, pp90RSK2",6197,NV4191,NanoLuc®-RPS6KA3(I416V) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
RPS6KA3 (L608F),RPS6KA3,ribosomal protein S6 kinase A3,"CLS, HU-3, ISPK-1, MAPKAPK1B, MRX19, RSK, RSK2, S6K-alpha3, p90-RSK2, pp90RSK2",6197,NV4201,NanoLuc®-RPS6KA3(L608F) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
RPS6KA4,RPS6KA4,ribosomal protein S6 kinase A4,"MSK2, RSK-B, S6K-alpha-4",8986,NV2011,NanoLuc®-RPS6KA4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RSK1,RPS6KA1,ribosomal protein S6 kinase A1,"HU-1, RSK1, p90Rsk, MAPKAPK1A",6195,NV1981,NanoLuc®-RPS6KA1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RSK2,RPS6KA3,ribosomal protein S6 kinase A3,"CLS, HU-3, ISPK-1, MAPKAPK1B, MRX19, RSK, RSK2, S6K-alpha3, p90-RSK2, pp90RSK2",6197,NV2001,NanoLuc®-RPS6KA3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RSK3,RPS6KA2,ribosomal protein S6 kinase A2,"HU-2, RSK3, p90RSK2, p90-RSK3, pp90RSK3, MAPKAPK1C, S6K-alpha, S6K-alpha2",6196,NV1991,NanoLuc®-RPS6KA2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
RSK4,RPS6KA6,ribosomal protein S6 kinase A6,"PP90RSK4, RSK-4, RSK4, S6K-alpha-6, p90RSK6",27330,NV2021,NanoLuc®-RPS6KA6 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
SBK3,SBK3,SH3 domain binding kinase family member 3,SGK110,100130827,NV4211,NanoLuc®-SBK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
SGK1,SGK1,serum/ glucocorticoid regulated kinase 1,"SGK, SGK1",6446,NV4221,SGK1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
SGK2,SGK2,serum/ glucocorticoid regulated kinase 2,"H-SGK2, dJ138B7.2",10110,NV4231,SGK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
SIK1,SIK1,salt inducible kinase 1,"MSK, SIK, SIK-1, SNF1LK",150094,NV2031,NanoLuc®-SIK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-4"
SIK2,SNF1LK2,salt inducible kinase 2,"LOH11CR1I, QIK, SIK-2, SNF1LK2",23235,NV2061,NanoLuc®-SNF1LK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-4"
SIK3,SIK3,SIK family kinase 3,"L19, QSK, SIK-3",23387,NV2041,NanoLuc®-SIK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-4"
SLK,SLK,STE20 like kinase,"LOSK, STK2, se20-9, bA16H23.1",9748,NV2051,NanoLuc®-SLK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
SNRK,SNRK,SNF related kinase,HSNFRK,54861,NV4241,NanoLuc®-SNRK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
SRC,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","ASV, SRC1, THC6, c-SRC, p60-Src",6714,NV2071,SRC-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
SRMS,SRMS,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites,"C20orf148, PTK70, SRM, dJ697K14.1",6725,NV4251,NanoLuc®-SRMS Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
STK10,STK10,serine/ threonine kinase 10,"LOK, PRO2729",6793,NV4261,NanoLuc®-STK10 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
STK11,STK11,serine/ threonine kinase 11,"LKB1, PJS, hLKB1",6794,NV2081,NanoLuc®-STK11 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
STK16,STK16,serine/ threonine kinase 16,"KRCT, MPSK, PKL12, PSK, TSF1, hPSK",8576,NV2091,NanoLuc®-STK16 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
STK17B,STK17B,serine/ threonine kinase 17b,DRAK2,9262,NV4271,STK17B-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
STK24,STK24,serine/ threonine kinase 24,"HEL-S-95, MST3, MST3B, STE20, STK3",8428,NV4281,STK24-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
STK26,STK26,serine/ threonine kinase 26,"MASK, MST4",51765,NV4291,STK26-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
STK3,STK3,serine/ threonine kinase 3,"KRS1, MST2",6788,NV4301,NanoLuc®-STK3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
STK32A,STK32A,serine/ threonine kinase 32A,YANK1,202374,NV4311,NanoLuc®-STK32A Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
STK32B,STK32B,serine/ threonine kinase 32B,"HSA250839, STK32, STKG6, YANK2",55351,NV2101,NanoLuc®-STK32B Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
STK33,STK33,serine/ threonine kinase 33,,65975,NV2111,NanoLuc®-STK33 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
STK35,STK35,serine/ threonine kinase 35,"CLIK1, STK35L1",140901,NV4321,STK35-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
STK36,STK36,serine/ threonine kinase 36,FU,27148,NV4331,NanoLuc®-STK36 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
STK38,STK38,serine/ threonine kinase 38,"NDR, NDR1",11329,NV2121,STK38-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
STK38L,STK38L,serine/ threonine kinase 38 like,NDR2,23012,NV4341,STK38L-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
STK4,STK4,serine/ threonine kinase 4,"KRS2, MST1, YSK3",6789,NV4351,NanoLuc®-STK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TBK1,TBK1,TANK binding kinase 1,"NAK, T2K, FTDALS4",29110,NV2131,NanoLuc®-TBK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TEC,TEC,tec protein tyrosine kinase,PSCTK4,7006,NV2141,NanoLuc®-TEC Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
TEK,TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV2151,TEK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TEK (A1124V),TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV4361,TEK(A1124V)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TEK (P883A),TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV4371,TEK(P883A)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TEK (R849W),TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV4381,TEK(R849W)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TEK (Y1108F),TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV4391,TEK(Y1108F)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TEK (Y897C),TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV4401,TEK(Y897C)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TEK (Y897S),TEK,TEK receptor tyrosine kinase,"CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1",7010,NV4411,TEK(Y897S)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TESK1,TESK1,testis-specific kinase 1,,7016,NV2161,NanoLuc®-TESK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
TGFBR2,TGFBR2,transforming growth factor beta receptor 2,"AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TBR-ii, TBRII, TGFR-2, TGFbeta-RII",7048,NV4421,TGFBR2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
TIE1,TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1,"JTK14, TIE",7075,NV2171,TIE1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TLK1,TLK1,tousled like kinase 1,PKU-beta,9874,NV4431,TLK1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TLK2,TLK2,tousled like kinase 2,"HsHPK, MRD57, PKU-ALPHA",11011,NV4441,TLK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TNK1,TNK1,tyrosine kinase non receptor 1,,8711,NV2181,NanoLuc®-TNK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TNK2,TNK2,tyrosine kinase non receptor 2,"ACK, ACK-1, ACK1, p21cdc42Hs",10188,NV4451,TNK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TNNI3K,TNNI3K,TNNI3 interacting kinase,"CARK, CCDD",51086,NV4461,TNNI3K-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TRKA,NTRK1,neurotrophic receptor tyrosine kinase 1,"MTC, TRK, TRK1, TRKA, Trk-A, p140-TrkA",4914,NV1811,NTRK1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TRKB,NTRK2,neurotrophic receptor tyrosine kinase 2,"OBHD, TRKB, trk-B, GP145-TrkB",4915,NV1821,NTRK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TSSK1B,TSSK1B,testis specific serine kinase 1B,"FKSG81, SPOGA4, STK22D, TSK1, TSSK1",83942,NV4471,NanoLuc®-TSSK1B Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
TTK,TTK,TTK protein kinase,"CT96, ESK, MPH1, MPS1, MPS1L1, PYT",7272,NV2191,TTK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
TXK,TXK,TXK tyrosine kinase,"BTKL, PSCTK5, PTK4, RLK, TKL",7294,NV2201,TXK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
TYK2,TYK2,tyrosine kinase 2,"IMD35, JTK1",7297,NV4511,TYK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TYK2 (JH1 domain),TYK2,tyrosine kinase 2,"IMD35, JTK1",7297,NV4521,TYK2(JH1 domain)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
TYK2 (JH2 domain),TYK2,tyrosine kinase 2,"IMD35, JTK1",7297,NV4531,TYK2(JH2 domain)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
